# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 28.0 MHz
# Antenna: 80m Square Loop (82m total length)
# Height: 10m above ground
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0 0 24.00 0.7 0.3
0 10 24.00 0.7 0.3
0 20 24.00 0.7 0.3
0 30 24.00 0.7 0.3
0 40 24.00 0.7 0.3
0 50 24.00 0.7 0.3
0 60 24.00 0.7 0.3
0 70 24.00 0.7 0.3
0 80 24.00 0.7 0.3
0 90 24.00 0.7 0.3
0 100 24.00 0.7 0.3
0 110 24.00 0.7 0.3
0 120 24.00 0.7 0.3
0 130 24.00 0.7 0.3
0 140 24.00 0.7 0.3
0 150 24.00 0.7 0.3
0 160 24.00 0.7 0.3
0 170 24.00 0.7 0.3
0 180 24.00 0.7 0.3
0 190 24.00 0.7 0.3
0 200 24.00 0.7 0.3
0 210 24.00 0.7 0.3
0 220 24.00 0.7 0.3
0 230 24.00 0.7 0.3
0 240 24.00 0.7 0.3
0 250 24.00 0.7 0.3
0 260 24.00 0.7 0.3
0 270 24.00 0.7 0.3
0 280 24.00 0.7 0.3
0 290 24.00 0.7 0.3
0 300 24.00 0.7 0.3
0 310 24.00 0.7 0.3
0 320 24.00 0.7 0.3
0 330 24.00 0.7 0.3
0 340 24.00 0.7 0.3
0 350 24.00 0.7 0.3
5 0 24.00 0.7 0.3
5 10 24.00 0.7 0.3
5 20 24.00 0.7 0.3
5 30 24.00 0.7 0.3
5 40 24.00 0.7 0.3
5 50 24.00 0.7 0.3
5 60 24.00 0.7 0.3
5 70 24.00 0.7 0.3
5 80 24.00 0.7 0.3
5 90 24.00 0.7 0.3
5 100 24.00 0.7 0.3
5 110 24.00 0.7 0.3
5 120 24.00 0.7 0.3
5 130 24.00 0.7 0.3
5 140 24.00 0.7 0.3
5 150 24.00 0.7 0.3
5 160 24.00 0.7 0.3
5 170 24.00 0.7 0.3
5 180 24.00 0.7 0.3
5 190 24.00 0.7 0.3
5 200 24.00 0.7 0.3
5 210 24.00 0.7 0.3
5 220 24.00 0.7 0.3
5 230 24.00 0.7 0.3
5 240 24.00 0.7 0.3
5 250 24.00 0.7 0.3
5 260 24.00 0.7 0.3
5 270 24.00 0.7 0.3
5 280 24.00 0.7 0.3
5 290 24.00 0.7 0.3
5 300 24.00 0.7 0.3
5 310 24.00 0.7 0.3
5 320 24.00 0.7 0.3
5 330 24.00 0.7 0.3
5 340 24.00 0.7 0.3
5 350 24.00 0.7 0.3
10 0 24.00 0.7 0.3
10 10 24.00 0.7 0.3
10 20 24.00 0.7 0.3
10 30 24.00 0.7 0.3
10 40 24.00 0.7 0.3
10 50 24.00 0.7 0.3
10 60 24.00 0.7 0.3
10 70 24.00 0.7 0.3
10 80 24.00 0.7 0.3
10 90 24.00 0.7 0.3
10 100 24.00 0.7 0.3
10 110 24.00 0.7 0.3
10 120 24.00 0.7 0.3
10 130 24.00 0.7 0.3
10 140 24.00 0.7 0.3
10 150 24.00 0.7 0.3
10 160 24.00 0.7 0.3
10 170 24.00 0.7 0.3
10 180 24.00 0.7 0.3
10 190 24.00 0.7 0.3
10 200 24.00 0.7 0.3
10 210 24.00 0.7 0.3
10 220 24.00 0.7 0.3
10 230 24.00 0.7 0.3
10 240 24.00 0.7 0.3
10 250 24.00 0.7 0.3
10 260 24.00 0.7 0.3
10 270 24.00 0.7 0.3
10 280 24.00 0.7 0.3
10 290 24.00 0.7 0.3
10 300 24.00 0.7 0.3
10 310 24.00 0.7 0.3
10 320 24.00 0.7 0.3
10 330 24.00 0.7 0.3
10 340 24.00 0.7 0.3
10 350 24.00 0.7 0.3
15 0 24.00 0.7 0.3
15 10 24.00 0.7 0.3
15 20 24.00 0.7 0.3
15 30 24.00 0.7 0.3
15 40 24.00 0.7 0.3
15 50 24.00 0.7 0.3
15 60 24.00 0.7 0.3
15 70 24.00 0.7 0.3
15 80 24.00 0.7 0.3
15 90 24.00 0.7 0.3
15 100 24.00 0.7 0.3
15 110 24.00 0.7 0.3
15 120 24.00 0.7 0.3
15 130 24.00 0.7 0.3
15 140 24.00 0.7 0.3
15 150 24.00 0.7 0.3
15 160 24.00 0.7 0.3
15 170 24.00 0.7 0.3
15 180 24.00 0.7 0.3
15 190 24.00 0.7 0.3
15 200 24.00 0.7 0.3
15 210 24.00 0.7 0.3
15 220 24.00 0.7 0.3
15 230 24.00 0.7 0.3
15 240 24.00 0.7 0.3
15 250 24.00 0.7 0.3
15 260 24.00 0.7 0.3
15 270 24.00 0.7 0.3
15 280 24.00 0.7 0.3
15 290 24.00 0.7 0.3
15 300 24.00 0.7 0.3
15 310 24.00 0.7 0.3
15 320 24.00 0.7 0.3
15 330 24.00 0.7 0.3
15 340 24.00 0.7 0.3
15 350 24.00 0.7 0.3
20 0 24.00 0.7 0.3
20 10 24.00 0.7 0.3
20 20 24.00 0.7 0.3
20 30 24.00 0.7 0.3
20 40 24.00 0.7 0.3
