# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 21.0 MHz
# Altitude: 5000 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
0 0 3.00 0.0 1.0
0 10 3.00 0.0 1.0
0 20 3.00 0.0 1.0
0 30 3.00 0.0 1.0
0 40 3.00 0.0 1.0
0 50 3.00 0.0 1.0
0 60 3.00 0.0 1.0
0 70 3.00 0.0 1.0
0 80 3.00 0.0 1.0
0 90 3.00 0.0 1.0
0 100 3.00 0.0 1.0
0 110 3.00 0.0 1.0
0 120 3.00 0.0 1.0
0 130 3.00 0.0 1.0
0 140 3.00 0.0 1.0
0 150 3.00 0.0 1.0
0 160 3.00 0.0 1.0
0 170 3.00 0.0 1.0
0 180 3.00 0.0 1.0
0 190 3.00 0.0 1.0
0 200 3.00 0.0 1.0
0 210 3.00 0.0 1.0
0 220 3.00 0.0 1.0
0 230 3.00 0.0 1.0
0 240 3.00 0.0 1.0
0 250 3.00 0.0 1.0
0 260 3.00 0.0 1.0
0 270 3.00 0.0 1.0
0 280 3.00 0.0 1.0
0 290 3.00 0.0 1.0
0 300 3.00 0.0 1.0
0 310 3.00 0.0 1.0
0 320 3.00 0.0 1.0
0 330 3.00 0.0 1.0
0 340 3.00 0.0 1.0
0 350 3.00 0.0 1.0
5 0 3.00 0.0 1.0
5 10 3.00 0.0 1.0
5 20 3.00 0.0 1.0
5 30 3.00 0.0 1.0
5 40 3.00 0.0 1.0
5 50 3.00 0.0 1.0
5 60 3.00 0.0 1.0
5 70 3.00 0.0 1.0
5 80 3.00 0.0 1.0
5 90 3.00 0.0 1.0
5 100 3.00 0.0 1.0
5 110 3.00 0.0 1.0
5 120 3.00 0.0 1.0
5 130 3.00 0.0 1.0
5 140 3.00 0.0 1.0
5 150 3.00 0.0 1.0
5 160 3.00 0.0 1.0
5 170 3.00 0.0 1.0
5 180 3.00 0.0 1.0
5 190 3.00 0.0 1.0
5 200 3.00 0.0 1.0
5 210 3.00 0.0 1.0
5 220 3.00 0.0 1.0
5 230 3.00 0.0 1.0
5 240 3.00 0.0 1.0
5 250 3.00 0.0 1.0
5 260 3.00 0.0 1.0
5 270 3.00 0.0 1.0
5 280 3.00 0.0 1.0
5 290 3.00 0.0 1.0
5 300 3.00 0.0 1.0
5 310 3.00 0.0 1.0
5 320 3.00 0.0 1.0
5 330 3.00 0.0 1.0
5 340 3.00 0.0 1.0
5 350 3.00 0.0 1.0
10 0 3.00 0.0 1.0
10 10 3.00 0.0 1.0
10 20 3.00 0.0 1.0
10 30 3.00 0.0 1.0
10 40 3.00 0.0 1.0
10 50 3.00 0.0 1.0
10 60 3.00 0.0 1.0
10 70 3.00 0.0 1.0
10 80 3.00 0.0 1.0
10 90 3.00 0.0 1.0
10 100 3.00 0.0 1.0
10 110 3.00 0.0 1.0
10 120 3.00 0.0 1.0
10 130 3.00 0.0 1.0
10 140 3.00 0.0 1.0
10 150 3.00 0.0 1.0
10 160 3.00 0.0 1.0
10 170 3.00 0.0 1.0
10 180 3.00 0.0 1.0
10 190 3.00 0.0 1.0
10 200 3.00 0.0 1.0
10 210 3.00 0.0 1.0
10 220 3.00 0.0 1.0
10 230 3.00 0.0 1.0
10 240 3.00 0.0 1.0
10 250 3.00 0.0 1.0
10 260 3.00 0.0 1.0
10 270 3.00 0.0 1.0
10 280 3.00 0.0 1.0
10 290 3.00 0.0 1.0
10 300 3.00 0.0 1.0
10 310 3.00 0.0 1.0
10 320 3.00 0.0 1.0
10 330 3.00 0.0 1.0
10 340 3.00 0.0 1.0
10 350 3.00 0.0 1.0
15 0 3.00 0.0 1.0
15 10 3.00 0.0 1.0
15 20 3.00 0.0 1.0
15 30 3.00 0.0 1.0
15 40 3.00 0.0 1.0
15 50 3.00 0.0 1.0
15 60 3.00 0.0 1.0
15 70 3.00 0.0 1.0
15 80 3.00 0.0 1.0
15 90 3.00 0.0 1.0
15 100 3.00 0.0 1.0
15 110 3.00 0.0 1.0
15 120 3.00 0.0 1.0
15 130 3.00 0.0 1.0
15 140 3.00 0.0 1.0
15 150 3.00 0.0 1.0
15 160 3.00 0.0 1.0
15 170 3.00 0.0 1.0
15 180 3.00 0.0 1.0
15 190 3.00 0.0 1.0
15 200 3.00 0.0 1.0
15 210 3.00 0.0 1.0
15 220 3.00 0.0 1.0
15 230 3.00 0.0 1.0
15 240 3.00 0.0 1.0
15 250 3.00 0.0 1.0
15 260 3.00 0.0 1.0
15 270 3.00 0.0 1.0
15 280 3.00 0.0 1.0
15 290 3.00 0.0 1.0
15 300 3.00 0.0 1.0
15 310 3.00 0.0 1.0
15 320 3.00 0.0 1.0
15 330 3.00 0.0 1.0
15 340 3.00 0.0 1.0
15 350 3.00 0.0 1.0
20 0 3.00 0.0 1.0
20 10 3.00 0.0 1.0
20 20 3.00 0.0 1.0
